Date,U6
1/1/1994,11.7
2/1/1994,11.4
3/1/1994,11.5
4/1/1994,11.3
5/1/1994,10.9
6/1/1994,11
7/1/1994,10.8
8/1/1994,10.6
9/1/1994,10.4
10/1/1994,10.4
11/1/1994,10.1
12/1/1994,10.1
1/1/1995,10.1
2/1/1995,9.9
3/1/1995,9.9
4/1/1995,10.1
5/1/1995,10.1
6/1/1995,10.1
7/1/1995,10.1
8/1/1995,10.1
9/1/1995,10.2
10/1/1995,10
11/1/1995,10.1
12/1/1995,10
1/1/1996,9.8
2/1/1996,10
3/1/1996,9.9
4/1/1996,10
5/1/1996,9.8
6/1/1996,9.7
7/1/1996,9.7
8/1/1996,9.4
9/1/1996,9.5
10/1/1996,9.5
11/1/1996,9.4
12/1/1996,9.6
1/1/1997,9.4
2/1/1997,9.3
3/1/1997,9.1
4/1/1997,9.3
5/1/1997,8.9
6/1/1997,8.9
7/1/1997,8.7
8/1/1997,8.7
9/1/1997,8.7
10/1/1997,8.5
11/1/1997,8.4
12/1/1997,8.5
1/1/1998,8.4
2/1/1998,8.3
3/1/1998,8.4
4/1/1998,8
5/1/1998,8
6/1/1998,8.1
7/1/1998,8.2
8/1/1998,7.9
9/1/1998,8
10/1/1998,7.9
11/1/1998,7.7
12/1/1998,7.6
1/1/1999,7.6
2/1/1999,7.7
3/1/1999,7.5
4/1/1999,7.7
5/1/1999,7.4
6/1/1999,7.5
7/1/1999,7.5
8/1/1999,7.3
9/1/1999,7.4
10/1/1999,7.2
11/1/1999,7.2
12/1/1999,7.1
1/1/2000,7
2/1/2000,7.1
3/1/2000,7.1
4/1/2000,6.9
5/1/2000,7.1
6/1/2000,7
7/1/2000,7
8/1/2000,7.1
9/1/2000,7
10/1/2000,6.8
11/1/2000,7.1
12/1/2000,6.9
1/1/2001,7.3
2/1/2001,7.3
3/1/2001,7.3
4/1/2001,7.4
5/1/2001,7.5
6/1/2001,7.9
7/1/2001,7.9
8/1/2001,8.2
9/1/2001,8.7
10/1/2001,9.3
11/1/2001,9.4
12/1/2001,9.6
1/1/2002,9.4
2/1/2002,9.5
3/1/2002,9.4
4/1/2002,9.7
5/1/2002,9.6
6/1/2002,9.5
7/1/2002,9.6
8/1/2002,9.6
9/1/2002,9.6
10/1/2002,9.6
11/1/2002,9.8
12/1/2002,9.8
1/1/2003,9.9
2/1/2003,10.1
3/1/2003,10
4/1/2003,10.2
5/1/2003,10.1
6/1/2003,10.3
7/1/2003,10.3
8/1/2003,10.1
