date,all_workers,recent_graduates,cpi,rate,cfnai
1990-01-01,5.1,3.4,127.5,4.1276236,-0.25
1990-02-01,5.1,3,128,4.3669276,0.54
1990-03-01,5,3.1,128.6,4.5519676,0.16
1990-04-01,5.1,3.6,128.9,4.552162,-0.7
1990-05-01,5.1,3.9,129.1,4.805062,0.01
1990-06-01,5.1,3.9,129.9,4.3826113,-0.03
1990-07-01,5.2,3.7,130.5,4.3418183,-0.58
1990-08-01,5.3,3.7,131.6,4.170532,-0.22
1990-09-01,5.5,3.7,132.5,4.3987446,-0.79
1990-10-01,5.6,3.7,133.4,4.200539,-0.93
1990-11-01,5.8,3.8,133.7,4.058855,-1.39
1990-12-01,5.9,4.1,134.2,3.8939207,-0.94
1991-01-01,6.1,4.5,134.7,3.9229312,-1.08
1991-02-01,6.2,4.8,134.8,3.9070537,-0.85
1991-03-01,6.4,4.8,134.8,4.175836,-0.89
1991-04-01,6.5,4.6,135.1,4.1098332,0.02
1991-05-01,6.6,4.6,135.6,4.0499163,-0.02
1991-06-01,6.6,4.8,136,4.1876445,0.03
1991-07-01,6.6,4.9,136.2,4.222254,0.15
1991-08-01,6.6,4.8,136.6,4.1399174,-0.34
1991-09-01,6.6,4.6,137,3.8784955,0.27
1991-10-01,6.7,4.7,137.2,3.637862,-0.38
1991-11-01,6.8,4.8,137.8,3.5650578,-0.38
1991-12-01,6.9,5.1,138.2,3.4103334,-0.8
1992-01-01,7,4.8,138.3,3.1985424,-0.07
1992-02-01,7.1,4.9,138.6,3.6282916,0.1
1992-03-01,7.2,4.8,139.1,3.660265,0.43
1992-04-01,7.2,4.5,139.4,3.7898598,0.23
1992-05-01,7.2,4.6,139.7,3.74617,-0.06
1992-06-01,7.3,4.4,140.1,3.5685766,0.05
1992-07-01,7.4,4.9,140.5,3.3530993,0.41
1992-08-01,7.4,4.9,140.8,3.1248226,-0.61
1992-09-01,7.3,5.1,141.1,2.9573424,0.08
1992-10-01,7.3,5,141.7,2.7280438,0.2
1992-11-01,7.2,5.1,142.1,3.3246334,0.1
1992-12-01,7.2,4.9,142.3,3.5096855,0.44
1993-01-01,7.1,4.8,142.8,3.2679086,0.21
1993-02-01,7,4.6,143.1,3.0047853,0.16
1993-03-01,6.9,4.8,143.3,2.673425,-0.47
1993-04-01,6.8,4.7,143.8,2.7745168,0.25
1993-05-01,6.8,4.6,144.2,2.6647205,-0.11
1993-06-01,6.7,4.2,144.3,2.7612374,0.04
1993-07-01,6.7,4.1,144.5,2.5917988,-0.02
1993-08-01,6.6,4,144.8,2.702903,-0.03
1993-09-01,6.5,4.3,145,2.4505806,0.38
1993-10-01,6.5,4.3,145.6,2.3988433,0.35
